Postal Code,Place Name,Province,Latitude,Longitude,,
M3K,Downsview East (CFB Toronto),ON,43.739,-79.4692,,
M4E,East Toronto (The Beaches),ON,43.6784,-79.2941,,
M4J,East Toronto (The Danforth East),ON,43.6872,-79.3368,,
M4K,East Toronto (The Danforth West / Riverdale),ON,43.6803,-79.3538,,
M4L,East Toronto (India Bazaar / The Beaches West),ON,43.6693,-79.3155,,
M4M,East Toronto (Studio District),ON,43.6561,-79.3406,,
M4N,Central Toronto (Lawrence Park East),ON,43.7301,-79.3935,,
M4P,Central Toronto (Davisville North),ON,43.7135,-79.3887,,
M4R,Central Toronto (North Toronto West),ON,43.7143,-79.4065,,
M4S,Central Toronto (Davisville),ON,43.702,-79.3853,,
M4T,Central Toronto (Moore Park / Summerhill East),ON,43.6899,-79.3853,,
M4V,Central Toronto (Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park),ON,43.6861,-79.4025,,
M4W,Downtown Toronto (Rosedale),ON,43.6827,-79.373,,
M4X,Downtown Toronto (St. James Town / Cabbagetown),ON,43.6684,-79.3689,,
M4Y,Downtown Toronto (Church and Wellesley),ON,43.6656,-79.383,,
M5A,Downtown Toronto (Regent Park / Port of Toronto),ON,43.6555,-79.3626,,
M5B,Downtown Toronto (Ryerson),ON,43.6572,-79.3783,,
M5C,Downtown Toronto (St. James Park),ON,43.6513,-79.3756,,
M5E,Downtown Toronto (Berczy Park),ON,43.6456,-79.3754,,
M5G,Downtown Toronto (Central Bay Street),ON,43.6564,-79.386,,
M5H,Downtown Toronto (Richmond / Adelaide / King),ON,43.6496,-79.3833,,
M5J,Downtown Toronto (Harbourfront East / Union Station / Toronto Island),ON,43.623,-79.3936,,
M5K,Downtown Toronto (Toronto Dominion Centre / Design Exchange),ON,43.6469,-79.3823,,
M5L,Downtown Toronto (Commerce Court / Victoria Hotel),ON,43.6492,-79.3823,,
M5N,Central Toronto (Roselawn),ON,43.7113,-79.4195,,
M5P,Central Toronto (Forest Hill North & West),ON,43.6966,-79.412,,
M5R,Central Toronto (The Annex / North Midtown / Yorkville),ON,43.6736,-79.4035,,
M5S,Downtown Toronto (University of Toronto / Harbord),ON,43.6629,-79.3987,,
M5T,Downtown Toronto (Kensington Market / Chinatown / Grange Park),ON,43.6541,-79.3978,,
M5V,Downtown Toronto (CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / YTZ),ON,43.6404,-79.3995,,
M5W,Downtown Toronto Stn A PO Boxes 25 The Esplanade (Enclave of M5E),ON,43.6437,-79.3787,,
M5X,Downtown Toronto (Underground city),ON,43.6492,-79.3823,,
M6G,Downtown Toronto (Christie),ON,43.6683,-79.4205,,
M6H,West Toronto (Dufferin / Dovercourt Village),ON,43.6655,-79.4378,,
M6J,West Toronto (Rua AÃ¾ores / Trinity),ON,43.648,-79.4177,,
M6K,West Toronto (Brockton / Parkdale Village / Exhibition Place),ON,43.6383,-79.4301,,
M6P,West Toronto (High Park / The Junction South),ON,43.6605,-79.4633,,
M6R,West Toronto (Parkdale / Roncesvalles Village),ON,43.6469,-79.4521,,
M6S,West Toronto (Bloor West Village / Swansea),ON,43.6512,-79.4828,,
M7Y,East Toronto Business Reply Mail Processing Centre 969 Eastern (Enclave of M4L),ON,43.7804,-79.2505,,
M8V,Etobicoke (New Toronto / Mimico South / Humber Bay Shores),ON,43.6075,-79.5013,,